Model Config,tr-Acc/%,tr-Pre/%,tr-Rec/%,tr-F1/%,tr-RMSE,Acc/%,Pre/%,Rec/%,F1/%,RMSE
DEMENTIA,96.30,96.30,96.30,96.30,3.13,89.58,88.00,91.67,89.80,4.31
NO-mha_audio,57.41,65.38,31.48,42.50,5.76,45.83,33.33,8.33,13.33,5.40
NO-mha_cross,96.30,100.00,92.59,96.15,3.02,81.25,85.71,75.00,80.00,5.25
NO-att_global,96.30,96.30,96.30,96.30,3.34,83.33,86.36,79.17,82.61,4.07
NO-attention,92.59,94.23,90.74,92.45,3.47,79.17,88.89,66.67,76.19,5.21
ONLY-mha_audio,95.37,94.55,96.30,95.41,3.13,87.50,87.50,87.50,87.50,3.86
ONLY-mha_cross,96.30,96.30,96.30,96.30,3.06,81.25,85.71,75.00,80.00,5.22
ONLY-att_global,77.78,75.00,83.33,78.95,6.64,75.00,77.27,70.83,73.91,5.57
ONLY-reg,nan,nan,nan,nan,5.26,nan,nan,nan,nan,4.61
ONLY-cls,97.22,98.11,96.30,97.20,nan,83.33,90.00,75.00,81.82,nan
NO-audio,89.81,89.09,90.74,89.91,4.03,85.42,90.48,79.17,84.44,3.88
NO-text,83.33,86.00,79.63,82.69,5.08,81.25,85.71,75.00,80.00,4.66
NO-handcraft,92.59,96.00,88.89,92.31,3.62,77.08,93.33,58.33,71.79,4.98
ONLY-audio,87.04,88.46,85.19,86.79,5.60,60.42,63.16,50.00,55.81,5.48
ONLY-text,96.30,98.08,94.44,96.23,3.15,85.42,94.74,75.00,83.72,4.67
ONLY-handcraft,84.26,87.76,79.63,83.50,4.81,85.42,90.48,79.17,84.44,5.06
